Telemetry GUID (Device+ParamName),"Device 
(CompClass)",Metric (ParamName),Description,"Category
GPU-CLK-PRESENT-LIMIT-MAX,GPU,CLK-PRESENT-LIMIT-MAX,Default GPU memory clock frequency at which applications will be running,Config,Uint64,"NSM: 0x3, 0x0B",nvmlDeviceGetDefaultApplicationsClock,nvidia_smi_log.gpu.default_applications_clocks.mem_clock,NA,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 xyz.openbmc_project.Inventory.Item.Dimm MaxMemorySpeedInMhz,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-ERR-INFO-VIOLATIONS,GPU,ERR-INFO-VIOLATIONS,PCI bus number,Erros,Uint64,NA,nvmlDeviceGetPciInfo_v3,nvidia_smi_log.gpu.pci.pci_bus,DCGM_FI_DEV_PCI_BUSID:57,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.State.ProcessorPerformance HardwareViolationThrottleDuration,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-THROTTLE-DURATION-PWR,GPU,THROTTLE-DURATION-PWR,PCI device number,Erros,Uint64,NA,nvmlDeviceGetPciInfo_v3,nvidia_smi_log.gpu.pci.pci_device,NA,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.State.ProcessorPerformance PowerLimitThrottleDuration,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-ECC-ERR-CTR-CE,GPU,ECC-ERR-CTR-CE,PCI domain number,Erros,Uint64,NA,nvmlDeviceGetPciInfo_v3,nvidia_smi_log.gpu.pci.pci_domain,NA,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 xyz.openbmc_project.Memory.MemoryECC ceCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-ECC-ERR-CTR-UCE,GPU,ECC-ERR-CTR-UCE,The flag indicates whether individual or multiple compute apps may run on the GPU,Erros,Uint64,"NSM: (0x5, 0x09)",nvmlDeviceGetComputeMode,nvidia_smi_log.gpu.compute_mode,DCGM_FI_DEV_COMPUTE_MODE:65,NA,NA,NA,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 xyz.openbmc_project.Memory.MemoryECC ueCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available IB,No,No Impact,1 Hr,,NA,NA,,,,,ES Factory,,,,"L0, R1","L1, R1",NA
GPU-ROW-REMAPPED-CTR-UE,GPU,ROW-REMAPPED-CTR-UE,A flag that indicates graphics clock speed is fixed or not,Erros,Uint64,"SMBPBI: (0x10, [0x0D], Unused)| NSM: (0x3, 0x11)",NA,NA,NA,"2021.1e
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{SpeedLocked}","2021.1e
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{SpeedLocked}","2021.1e
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{SpeedLocked}",,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping ueRowRemappingCount,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,Yes,No Impact,1 Hr,30,"2021.1e
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{SpeedLocked}","2021.1e
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{SpeedLocked}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,,ES,,,,"L0, R1","L1, R1",NA
GPU-ROW-REMAPPED-CTR-CE,GPU,ROW-REMAPPED-CTR-CE,GPU networking (NVLink) Firmware Version,Erros,Uint64,,,,,,,,,,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping ceRowRemappingCount,,NA,NA,FW_Version,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,Available OOB,,,1 Hr,,,,,,,,,,,QS,L1,L1,NA
GPU-ROW-REMAP-FAILED,GPU,ROW-REMAP-FAILED,NVLink Replay Error Count,Erros,string,"SMBPBI: (0x1A, 03h, [<link_index>,0xFF = Aggregate Count])",NVML_FI_DEV_NVLINK_ERROR_DL_REPLAY,NA,"DCGM_FI_DEV_NVLINK_REPLAY_ERROR_COUNT_L[0-17]:[420,421,422,423,424,425,463,464,465,466,467,468,426,427,428,487,488,489]","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{ReplayCount}}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{ReplayCount}}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{ReplayCount}}}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorPortMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorPortMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/dimm/GPU_$gpuid_DRAM_0 com.nvidia.MemoryRowRemapping RowRemappingFailureState,,,,,Yes,NA,NA,Yes,NA,NA,NA,NA,,NA,NA,Yes,NA,Yes,NA,Yes,NA,,Available,No,No Impact,1 Hr,,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{ReplayCount}}}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/Ports/$PortId/Metrics
{Oem{Nvidia{NVLinkErrors{ReplayCount}}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}, PortId: {PortProtocol: NVLink, Id_contains: NVLink}}",GPU[NVLink],,Y,ES,,,,L0,L1,RF:DCGM
GPU-PCI-ERR-CTR-CORR,GPU,PCI-ERR-CTR-CORR,Total number of times the Port Training state machine has successfully completed the link error recovery process. This enrty is applicable for platforms with NVL4.,Erros,Uint64,"SMBPBI: (0x1A, 04h, [<link_index>,0xFF = Aggregate Count])",NVML_FI_DEV_NVLINK_ERROR_DL_RECOVERY,"nvidia-smi nvlink -e (""Recovery Errors"")","DCGM_FI_DEV_NVLINK_RECOVERY_ERROR_COUNT_L[0-17]:[430,431,432,433,434,435,469,470,471,472,473,474,436,437,438,491,492,493]","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{RecoveryCount}}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{RecoveryCount}}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{RecoveryCount}}}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorPortMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorPortMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC ceCount,,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,Yes,NA,,Available,No,No Impact,10 Sec,30,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{RecoveryCount}}}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/Ports/$PortId/Metrics
{Oem{Nvidia{NVLinkErrors{RecoveryCount}}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}, PortId: {PortProtocol: NVLink, Id_contains: NVLink}}",GPU[NVLink],,Y,ES,,,,L0,L1,RF:DCGM
GPU-PCI-ERR-CTR-FATAL,GPU,PCI-ERR-CTR-FATAL,NVLink flit CRC Error Count,Erros,Uint64,"SMBPBI: (0x1A, 05h, [<link_index>,0xFF = Aggregate Count])",NVML_FI_DEV_NVLINK_ERROR_DL_CRC,NA,"DCGM_FI_DEV_NVLINK_CRC_FLIT_ERROR_COUNT_L[0-17]:[400,401,402,403,404,405,451,452,453,454,455,456,406,407,408,481,482,483]","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{FlitCRCCount}}}}","2021.1d
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{FlitCRCCount}}}}","2021.1d
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{FlitCRCCount}}}}",/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorPortMetrics_0,/redfish/v1/TelemetryService/MetricReports/ProcessorPortMetrics_0,busctl get-property  xyz.openbmc_project.NSM /xyz/openbmc_project/inventory/system/accelerator/GPU_$gpuid xyz.openbmc_project.PCIe.PCIeECC feCount,,,,,Yes,NA,NA,Yes,NA,NA,NA,NA,,NA,NA,Yes,NA,Yes,NA,Yes,NA,,Available,No,No Impact,1 Hr,,"2021.1d
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/Ports/NVLink_{InstanceId}/Metrics
{Oem{Nvidia{NVLinkErrors{FlitCRCCount}}}}","2021.1d
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/Ports/$PortId/Metrics
{Oem{Nvidia{NVLinkErrors{FlitCRCCount}}}}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}, PortId: {PortProtocol: NVLink, Id_contains: NVLink}}",GPU[NVLink],,Y,ES,,,,L0,L1,RF:DCGM
